cin,company_name,status,authorized_capital,paidup_capital,class
U15123TN2022PTC154225,YHATIKS FOODS PRIVATE LIMITED,Active,1500000.00,100000.00,Private
U17099DL2024PTC426670,INTERBIX NATURE PLUS PRIVATE LIMITED,Active,1000000,500000,Private
U52100DL2020PTC361400,RA RETAIL SERVICES PRIVATE LIMITED,Active,100000,100000,Private
U72900DL2016PTC290937,AXEDA ASSOCIATES PRIVATE LIMITED,Active,100000,100000,Private
U70101DL2006PTC146624,NIPUN BUILDTECH PRIVATE LIMITED,Strike Off,500000,100000,Private
U31200KA2020OPC132730,ARMUKHA POWER TECHNOLOGIES (OPC) PRIVATE LIMITED,Strike Off,500000.00,100000.00,One Person Company
U05121KA1990PTC011394,A B INTEGRATED AGRO FARMS PRIVATE LIMITED,Strike Off,500000.00,3000.00,Private
U74140PN1991PTC059654,J D PANSE DECORATORS AND PAINTERS PRIVATE LIMITED,Converted to LLP,500000.00,145000.00,Private
U52100MH2015PTC268891,PIDDA MANUFACTURING AND TRADING PRIVATE LIMITED,Active,100000.00,100000.00,Private
U65991TN1983PTC009792,SOUTHERN CREDITS AND CHITS PRIVATE LIMITED,Active,500000.00,350300.00,Private
U51909DL2018PTC337591,NAMOKAR TIMBER INDIA PRIVATE LIMITED,Active,500000,500000,Private
U15130MH2019PTC333020,DHARAU MILK PRIVATE LIMITED,Active,100000.00,100000.00,Private
U51900DL2022PTC399181,SAM BEAST INDIA PRIVATE LIMITED,Active,10000,10000,Private
U72200KA2007PTC041464,VANU INDIA PRIVATE LIMITED,Active,500000.00,500000.00,Private
U72900KA2020PTC138003,ADSFITTER MEDIA PRIVATE LIMITED,Active,100000.00,10000.00,Private
U74999PN2016PTC164080,AP INDIA AGRI INITIATIVES PRIVATE LIMITED,Active,100000.00,100000.00,Private
U17119GJ1990PLC014075,MAHESH RAYONS LIMITED,Strike Off,500000.00,700.00,Public
U92320MH2013PTC249355,SPORTS FOR LIFE EDUCATION PRIVATE LIMITED,Active,300000.00,100000.00,Private
U51909DL2017PTC318635,SOMMET VUE IMPEX AND TRADERS PRIVATE LIMITED,Strike Off,100000,100000,Private
U74899DL1989PTC037370,SPARTAN PLASTIC INDUSTRIES PRIVATE LIMITED,Strike Off,25000000,2201700,Private
U46539PN2024PTC236145,GREENMARC AGROTECH PRIVATE LIMITED,Active,100000.00,100000.00,Private
U72200DL2022OPC394565,INTERBIX SOFTWARE (OPC) PRIVATE LIMITED,Active,100000,100000,One Person Company
U74899DL1995PTC071396,POLO LEASING AND FINANCE PRIVATE LIMITED,Strike Off,5500000,5500000,Private
U70102DL2013PTC258936,COGNET REAL ESTATE PRIVATE LIMITED,Active,100000,100000,Private
U99999MH1947PLC007673,HIND GLASS WORKS LIMTED.,Inactive for e-filing,0.00,0.00,Public
U45208MH2011PTC220527,AVISHKAAR CIVIL AND INFRASTRUCTURE (INDIA) PRIVATE LIMITED,Active,500000.00,100000.00,Private
U92100MH2009PTC193625,FRIEDBRAIN PRODUCTIONS PRIVATE LIMITED,Active,100000.00,100000.00,Private
U74999KA2018PTC109719,NEXTIOR BUILDTECH PRIVATE LIMITED,Active,1000000.00,100000.00,Private
U45201DL2005PTC137986,VARSA BUILDCON PRIVATE LIMITED,Strike Off,100000,100000,Private
U74120MH2016PTC272743,J BRIGHT EXPRESS PRIVATE LIMITED,Active,100000.00,100000.00,Private
U74999TN2018OPC126466,JERASHA TECHNOLOGIES SERVICES (OPC) PRIVATE LIMITED,Strike Off,100000.00,100000.00,One Person Company
U70109DL2019PTC347503,SANTAUR BUILDTECH PRIVATE LIMITED,Active,100000,100000,Private
U24116PN2007PTC130818,YASHRAAJ ETHANOLL PROCESSING PRIVATE LIMITED,Active,50000000.00,50000000.00,Private
U74899DL2006PTC144454,YASH SARVATRA SECURITY PRIVATE LIMITED,Strike Off,100000,100000,Private
U68200PN2024PTC227026,KINGDOM KEY PRIVATE LIMITED,Active,1500000.00,100000.00,Private
U51900DL2013PTC254624,NUMEROUS TECHNOLOGIES PRIVATE LIMITED,Strike Off,100000,100000,Private
U17112DL1997PTC085548,HAJI UBEDULLAH HANDLOOMS PRIVATE LIMITED,Active,1000000,160000,Private
U74990MH2009PTC196793,STYLE KITCHEN ENTERPRISES PRIVATE LIMITED,Active,2500000.00,1685580.00,Private
U74120MH2011PTC219006,EPSILON INTERNATIONAL CONSULTING SERVICES PRIVATE LIMITED,Amalgamated,5000000.00,239170.00,Private
U74999KA2022PTC162182,DIRECTIVITY TECH PRIVATE LIMITED,Active,1000000.00,100000.00,Private
U74900MH2014PTC256439,DIZZY DEVIL EVENTS AND ENTERTAINMENTS PRIVATE LIMITED,Active,100000.00,100000.00,Private
U45209MH2021PTC372135,BENCI INFRAPROJECTS PRIVATE LIMITED,Active,12000000.00,200000.00,Private
U74999DL2016OPC305162,APKAKART NETIMPEX (OPC) PRIVATE LIMITED,Active,100000,100000,One Person Company
U92419DL2022PTC398910,SMASH2PLAY PRIVATE LIMITED,Active,1000000,1000000,Private
U51909DL1989PLC133465,MAG.T EXIM LIMITED,Active,5000000,2900700,Public
U15500DL2010PTC209577,SPN BREWERIES PRIVATE LIMITED,Strike Off,100000,100000,Private
U01500PN2024PTC233463,STARGOAL AGRO FARMER PRODUCER COMPANY LIMITED,Active,1500000.00,100000.00,Private
U93090TN2018PTC125782,SDSENSIBLE PEST SOLUTIONS PRIVATE LIMITED,Active,1000000.00,100000.00,Private
U62100KA2006PTC039724,INDISH AIR WAYS PRIVATE LIMITED,Strike Off,20000000.00,20000000.00,Private
U52100MH2015PTC265397,BUXINO TRADING PRIVATE LIMITED,Strike Off,1000000.00,100000.00,Private
U99999MH1986PTC038712,4EHTA EXTERIOR FOUNDATIONS AND CONSTRUCT ION PVT LTD,Strike Off,100000.00,0.00,Private
U72900KA2020PTC136235,SKYONE TECHNOLOGY PRIVATE LIMITED,Strike Off,1000000.00,100000.00,Private
U31200DL2010PTC200280,M. K. S. ELECTRICAL AND INTERIORS PRIVATE LIMITED,Active,500000,100000,Private
U93000PN2022PTC213981,CAESAR PET ACADEMY PRIVATE LIMITED,Active,600000.00,100000.00,Private
U58201MH2024PTC422593,RADIANTX TECHNOLOGIES PRIVATE LIMITED,Active,10000.00,5000.00,Private
U15500MH2008PTC178470,LIMITLESS FOODS PRIVATE LIMITED,Strike Off,100000.00,0.00,Private
U35105TN2024PTC174418,NSA RENEWABLE ENERGY PRIVATE LIMITED,Active,1500000.00,1500000.00,Private
U47912PN2025PTC236891,MARCREXIAN PRIVATE LIMITED,Active,100000.00,10000.00,Private
U65993MH1982ULT026474,SHEVANTI INVESTMENT COMPANY A PVT CO WITH UNLIMITED LIABILITY,Active,500000.00,410000.00,Private
U74899DL1994PTC062926,FLAME LAND & DEVELOPMENT INDIA PRIVATE LIMITED,Active,3500000,3430500,Private
U25203PN2016PTC158326,GD DESIGN & PACKAGING PRIVATE LIMITED,Active,70000000.00,60000000.00,Private
U34101TN2012PTC084303,MUTHURAM AUTO PRIVATE LIMITED,Active,900000.00,900000.00,Private
U70101GJ2012PTC072287,KITES REALTY PRIVATE LIMITED,Active,100000.00,100000.00,Private
U93090PN2017PTC171086,MAHEASH KATAY HYPNOTHERAPY AND REMEDY CENTRE PRIVATE LIMITED,Active,100000.00,100000.00,Private
U31103DL2006PTC149585,CSH POWER HIMOINSA PRIVATE LIMITED,Active,284000000,284000000,Private
U80301MH2009PTC194003,MODERN SCHOOL PRIVATE LIMITED,Active,250000.00,220000.00,Private
U15549KA2018OPC119891,ADDIS DESSERT (OPC) PRIVATE LIMITED,Strike Off,100000.00,50000.00,One Person Company
U92140TN2021PTC142045,FORTUNE24FRAMES PRIVATE LIMITED,Strike Off,1000000.00,1000000.00,Private
U85190MH2021PTC356242,KALAWATI SUPERSPECIALITY HOSPITAL PRIVATE LIMITED,Active,1500000.00,1500000.00,Private
U45309GJ2018PTC101033,B. N. PROCON PRIVATE LIMITED,Active,100000.00,100000.00,Private
U72200KA2015PTC080794,TATVAM ANALYTICS PRIVATE LIMITED,Active,1000000.00,100000.00,Private
U63030PN2020PTC194022,NIOLEG LOGISTICS PRIVATE LIMITED,Strike Off,100000.00,100000.00,Private
U09900GJ2025PTC159102,MADHAV QUARRY WORKS PRIVATE LIMITED,Active,100000.00,100000.00,Private
U01100MH1985PTC037237,GULMOHAR FARMS PVT LTD,Active,10000000.00,7003000.00,Private
U71100DL2010PTC197930,AQ FROZEN FOODS PRIVATE LIMITED,Active,10000000,2104800,Private
U17299TZ2021PTC035522,SRN WEAVING AND KNITTING PRIVATE LIMITED,Active,7500000.00,100000.00,Private
U72200DL2005PLC136696,AMTIER INFOTECH LIMITED,Strike Off,5000000,3615000,Public
U99999TN1997PTC038437,VENKATARAMANAA CONSTRUCTIONS PRIVATE LIMITED,Strike Off,500000.00,0.00,Private
U79110DL2024PTC434996,QUANTUM NEXUS PRIVATE LIMITED,Active,1000000,100000,Private
U55101PN2023PTC217772,AMP HOTELS PRIVATE LIMITED,Active,30000000.00,30000000.00,Private
U63040KA2013PTC069871,RAPID TAXI OPERATION AND SOLUTIONS PRIVATE LIMITED,Strike Off,100000.00,100000.00,Private
U74899DL1995PTC065795,ONFLOW AGRO PRIVATE LIMITED,Strike Off,1100000,1078000,Private
U31909GJ2004PTC044404,KIRASHA TECHNOLOGIES PRIVATE LIMITED,Active,990000.00,540000.00,Private
U74999MH2022PTC378669,NORTH STAR TOURISM PRIVATE LIMITED,Active,1500000.00,100000.00,Private
U27100MH1995PTC091255,BIKANER IRON AND STEEL INDUSTRIES PRIVATE LIMITED,Active,2500000.00,1755500.00,Private
U51909DL2009PTC188076,HARRIBAN BROADCASTING AND COMMUNICATION PRIVATE LIMITED,Converted to LLP,500000,100000,Private
U99999MH1981PTC025475,NAGPUR INSULATORS PVT LTD,Active,1000000.00,0.00,Private
U79110DL2023PTC410447,EXPOSURE IMMIGRATION PRIVATE LIMITED,Active,100000,100000,Private
U74899DL1984PTC019573,ESS GEE AGRO PRIVATE LIMITED,Strike Off,2400000,2288700,Private
